realtime_start,realtime_end,date,value
2026-09-18,2026-09-18,1972-06-01,0.0122
2026-09-18,2026-09-18,1972-07-01,0.0124
2026-09-18,2026-09-18,1972-08-01,0.0127
2026-09-18,2026-09-18,1972-09-01,0.0132
2026-09-18,2026-09-18,1972-10-01,0.0137
2026-09-18,2026-09-18,1972-11-01,0.0141
2026-09-18,2026-09-18,1972-12-01,0.0144
2026-09-18,2026-09-18,1973-01-01,0.0149
2026-09-18,2026-09-18,1973-02-01,0.0155
2026-09-18,2026-09-18,1973-03-01,0.0159
2026-09-18,2026-09-18,1973-04-01,0.0163
2026-09-18,2026-09-18,1973-05-01,0.0164
2026-09-18,2026-09-18,1973-06-01,0.0172
2026-09-18,2026-09-18,1973-07-01,0.0173
2026-09-18,2026-09-18,1973-08-01,0.0179
2026-09-18,2026-09-18,1973-09-01,0.0179
2026-09-18,2026-09-18,1973-10-01,0.0184
2026-09-18,2026-09-18,1973-11-01,0.0189
2026-09-18,2026-09-18,1973-12-01,0.0189
2026-09-18,2026-09-18,1974-01-01,0.0194
2026-09-18,2026-09-18,1974-02-01,0.0196
2026-09-18,2026-09-18,1974-03-01,0.0197
2026-09-18,2026-09-18,1974-04-01,0.0194
2026-09-18,2026-09-18,1974-05-01,0.0192
2026-09-18,2026-09-18,1974-06-01,0.0191
2026-09-18,2026-09-18,1974-07-01,0.0187
2026-09-18,2026-09-18,1974-08-01,0.0179
2026-09-18,2026-09-18,1974-09-01,0.0178
2026-09-18,2026-09-18,1974-10-01,0.0169
2026-09-18,2026-09-18,1974-11-01,0.0157
2026-09-18,2026-09-18,1974-12-01,0.015
2026-09-18,2026-09-18,1975-01-01,0.0146
2026-09-18,2026-09-18,1975-02-01,0.0134
2026-09-18,2026-09-18,1975-03-01,0.0132
2026-09-18,2026-09-18,1975-04-01,0.013
2026-09-18,2026-09-18,1975-05-01,0.013
2026-09-18,2026-09-18,1975-06-01,0.013
2026-09-18,2026-09-18,1975-07-01,0.0134
2026-09-18,2026-09-18,1975-08-01,0.0137
2026-09-18,2026-09-18,1975-09-01,0.0141
2026-09-18,2026-09-18,1975-10-01,0.0146
2026-09-18,2026-09-18,1975-11-01,0.0149
2026-09-18,2026-09-18,1975-12-01,0.0156
2026-09-18,2026-09-18,1976-01-01,0.0157
2026-09-18,2026-09-18,1976-02-01,0.0158
2026-09-18,2026-09-18,1976-03-01,0.016
2026-09-18,2026-09-18,1976-04-01,0.0166
2026-09-18,2026-09-18,1976-05-01,0.0173
2026-09-18,2026-09-18,1976-06-01,0.0176
2026-09-18,2026-09-18,1976-07-01,0.0181
2026-09-18,2026-09-18,1976-08-01,0.0187
2026-09-18,2026-09-18,1976-09-01,0.0194
2026-09-18,2026-09-18,1976-10-01,0.0196
2026-09-18,2026-09-18,1976-11-01,0.02
2026-09-18,2026-09-18,1976-12-01,0.0201
2026-09-18,2026-09-18,1977-01-01,0.02
2026-09-18,2026-09-18,1977-02-01,0.021
2026-09-18,2026-09-18,1977-03-01,0.0211
2026-09-18,2026-09-18,1977-04-01,0.0215
2026-09-18,2026-09-18,1977-05-01,0.0218
2026-09-18,2026-09-18,1977-06-01,0.0227
2026-09-18,2026-09-18,1977-07-01,0.0223
2026-09-18,2026-09-18,1977-08-01,0.0235
2026-09-18,2026-09-18,1977-09-01,0.0239
2026-09-18,2026-09-18,1977-10-01,0.024
2026-09-18,2026-09-18,1977-11-01,0.0245
2026-09-18,2026-09-18,1977-12-01,0.0246
2026-09-18,2026-09-18,1978-01-01,0.0243
2026-09-18,2026-09-18,1978-02-01,0.0247
2026-09-18,2026-09-18,1978-03-01,0.0259
2026-09-18,2026-09-18,1978-04-01,0.026
2026-09-18,2026-09-18,1978-05-01,0.0265
2026-09-18,2026-09-18,1978-06-01,0.0272
2026-09-18,2026-09-18,1978-07-01,0.0277
2026-09-18,2026-09-18,1978-08-01,0.0283
2026-09-18,2026-09-18,1978-09-01,0.0286
2026-09-18,2026-09-18,1978-10-01,0.0294
